Country,r2_scores,mean_r2
Austria,[0.65205878 0.65926726 0.93746212 0.32628433 0.37248712],0.58951192279498
Belgium,[0.7223298  0.59889382 0.81860873 0.77516156 0.59204826],0.7014084337997675
Croatia,[0.65239745 0.83472911 0.85643436 0.10147538 0.93391259],0.6757897787440637
Cyprus,[0.7164168  0.88438977 0.81896091 0.24918803 0.793906  ],0.692572302251543
Denmark,[0.58728473 0.50338582 0.41025268 0.24839287 0.30920967],0.41170515309103334
Estonia,[0.90374264 0.25561955 0.67385896 0.57750831 0.72087886],0.626321664840827
Finland,[ 0.84227158  0.89589019  0.76270451  0.37534162 -0.79247549],0.41674648168531564
France,[-0.3060078   0.17258971 -1.18623249  0.00125545 -0.13662878],-0.2910047816064995
Germany,[-4.4638935   0.67593469  0.50458184  0.37127803 -0.76893488],-0.7362067641622845
Greece,[ 0.84544179 -0.11552392  0.6018232   0.71126865  0.20787186],0.450176317143382
Ireland,[ 0.89408542  0.4203217   0.62580203  0.3835001  -0.45803676],0.3731344980325772
Italy,[-3.67641488  0.61571323  0.46783345  0.06043953 -1.62202426],-0.830890588362682
Latvia,[0.8607201  0.84415227 0.82690722 0.77382642 0.86603264],0.8343277322240216
Lithuania,[ 0.56992751 -0.14398042  0.07498566 -1.10869029  0.69027698],0.01650388696393279
Luxembourg,[0.71200084 0.95774667 0.85870725 0.76192355 0.76385252],0.810846167642746
Netherlands,[ 0.65391132  0.96648084  0.37630293  0.9256007  -1.57476152],0.26950685471587177
Portugal,[-0.29938472  0.05359328  0.45788459  0.5940632   0.47225151],0.2556815729712584
Slovakia,[0.74266206 0.7912041  0.34933125 0.47888623 0.66568746],0.6055542191953671
Slovenia,[-0.89710003  0.63141542  0.44671575 -0.49347137  0.23734184],-0.015019677676986042
Spain,[ 0.41378386  0.82064093  0.68178009  0.5023267  -3.97078075],-0.31044983370397256
