Country,ED_Coeff,Expenditure_Coeff,Irate_Coeff,Population_Coeff,Tax_Coeff,Trade_Coeff,First_sector_Inv,Test_Score
Austria,134.91959406917152,-107.10891269184144,-64.54532115016882,115.01855599161809,115.01855599161809,115.01855599161809,115.01855599161809,0.6520587806204545
Belgium,79.71305736828084,-14.50988506052982,-23.159402974746982,300.4841787162287,300.4841787162287,300.4841787162287,300.4841787162287,0.7223298014192328
Croatia,192.77786470363878,-12.932119907259565,109.76722337235427,170.16305029360103,170.16305029360103,170.16305029360103,170.16305029360103,0.6523974514854309
Cyprus,25.944103520993423,6.555980707452609,-4.834665439652408,-105.87199038529137,-105.87199038529137,-105.87199038529137,-105.87199038529137,0.7164167963484736
Denmark,829.2036900507832,-531.5980921556938,-9.262886064078181,-972.9192877812842,-972.9192877812842,-972.9192877812842,-972.9192877812842,0.587284729170654
Estonia,31.1142980675055,-33.17306510065145,39.80718703826976,-162.7564828992386,-162.7564828992386,-162.7564828992386,-162.7564828992386,0.903742635193281
Finland,-21.02524969102203,18.113170554257067,-11.296955852737568,442.7765255887019,442.7765255887019,442.7765255887019,442.7765255887019,0.8422715849942942
France,-179.73263971185065,-634.8118081146202,-968.8544470951648,1073.729658689212,1073.729658689212,1073.729658689212,1073.729658689212,-0.3060077995017316
Germany,-939.831901402604,21.081906178421384,724.9828552516324,-529.2979816335348,-529.2979816335348,-529.2979816335348,-529.2979816335348,-4.463893498921151
Greece,574.7222466905337,-61.660173753423365,-299.2304986871583,-152.00346938261515,-152.00346938261515,-152.00346938261515,-152.00346938261515,0.8454417942454261
Ireland,-153.96902882341283,-203.79659997535418,353.8903287425501,206.81599465856357,206.81599465856357,206.81599465856357,206.81599465856357,0.8940854241031799
Italy,112.56079452200112,-1065.1695194853617,-832.9093191238055,-311.5925398797376,-311.5925398797376,-311.5925398797376,-311.5925398797376,-3.6764148829786514
Latvia,45.29823434139893,-13.33007309458445,-49.716315617806856,-152.0967736201534,-152.0967736201534,-152.0967736201534,-152.0967736201534,0.8607201034081147
Lithuania,47.383022051825755,47.92467455434449,17.059353460921347,-12.972443697694876,-12.972443697694876,-12.972443697694876,-12.972443697694876,0.5699275064774627
Luxembourg,-17.58215818658925,-7.951229385987808,1.6358068346587105,-22.423610623449168,-22.423610623449168,-22.423610623449168,-22.423610623449168,0.7120008382627055
Netherlands,437.0418838234049,530.6957925916216,-375.92421964016023,-1123.0260121916485,-1123.0260121916485,-1123.0260121916485,-1123.0260121916485,0.6539113231976514
Portugal,18.022832325291603,-28.91276045659343,14.772350990691397,-56.4949592523055,-56.4949592523055,-56.4949592523055,-56.4949592523055,-0.29938471571141667
Slovakia,-100.19456714171834,-122.69113707902726,16.886831903236747,226.09339228951268,226.09339228951268,226.09339228951268,226.09339228951268,0.7426620589784596
Slovenia,1.583442509627359,-16.950839373164584,-18.627882915753165,-21.88923203375884,-21.88923203375884,-21.88923203375884,-21.88923203375884,-0.897100031897806
Spain,152.75827762592607,-789.1466248422464,-1113.9992608515831,970.6637366752072,970.6637366752072,970.6637366752072,970.6637366752072,0.41378385995946754
